"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE"
"Ben Kentish","November 3, 2016 Thursday 10:00 AM GMT",,"The man who wrote Article 50 says Brexit can still be stopped; Forner head of the UK diplomatic service says triggering exit talks is not ""irrevocable"",""512 words","NA","The Independent (United Kingdom)","HOME NEWS",
"By Harry Yorke","November 8, 2016 Tuesday 9:00 AM GMT",,"Telegraph Festival of Business 2016: Co-op Chairman Allan Leighton says Brexit taught us ""how not to communicate"",""1182 words","NA","telegraph.co.uk","BUSINESS",
"By Voice of the Mirror","November 10, 2016 Thursday 10:15 PM GMT",,"Being back of Trump's phone call queue is a wake-up call for Brexit Britain; Leaving Theresa May waiting by the phone is a warning about the limits of the so-called ""special relationship"",""169 words","NA","mirror.co.uk","NEWS,UK NEWS",
"By Voice of the Mirror","November 10, 2016 Thursday 10:15 PM GMT",,"Voice of the Mirror: Being back of Trump's phone call queue is a wake-up call for Brexit Britain; Leaving Theresa May waiting by the phone is a warning about the limits of the so-called ""special relationship"",""174 words","NA","mirror.co.uk","NEWS,UK NEWS",
"By Jason Beattie","November 7, 2016 Monday 10:29 PM GMT",,"David Davis tells MPs to respect the referendum result and stop trying to 'wreck' Brexit; Mr Davis told MPs: ""There must be no attempt to remain in the EU, no attempt to rejoin by the backdoor and no second referendum"",""418 words","NA","mirror.co.uk","NEWS,UK NEWS",
"By Dan Bloom","November 6, 2016 Sunday 10:34 AM GMT",,"Nigel Farage calls for Brexit ruling protests as he faces fiery TV clash with campaigner Gina Miller; Ukip's leader also warned of anger ""never witnessed in this country"" but Brexit activist Gina Miller shot back: ""You should be my biggest fan!"",""593 words","NA","mirror.co.uk","NEWS,UK NEWS",
"By Ben Glaze","November 4, 2016 Friday 11:28 PM GMT",,"Anti-Brexit campaigner Gina Miller receives online rape and death threats after High Court victory; One troll wrote online about Remain campaigner Mrs Miller, 51: ""I hope she gets f***ing killed"",""186 words","NA","mirror.co.uk","NEWS,UK NEWS",
"Leo McKinstry","November 7, 2016 Monday 12:01 AM GMT",,"The Government is well placed to deliver on Brexit, says LEO MCKINSTRY","998 words","Express Online",,
"Tim Shipman ;Richard Kerbaj ;James Lyons","November 13, 2016 Sunday",,"Pence's call gives Boris an early opportunity to build a good Brexit deal and safeguard Nato","997 words","The Sunday Times (London)","PRESIDENT TRUMP;FEATURES; Pg. 6,7",
"By Emma Munbodh","November 9, 2016 Wednesday 10:12 AM GMT",,"US election 2016: This is how Donald Trump's shock victory will affect the British pound and UK holidaymakers; Property Tycoon Donald Trump has today shocked millions with a presidential win, succeeding Barack Obama. Here's what this could mean for post-Brexit Britain","995 words","mirror.co.uk","MONEY",
