"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE"
,"November 23, 2016",,"ECONOMY Today's Brexit Budget","10 words","i-Independent Print Ltd","FEATURES; Pg. 1",
"Laura Board","November 20, 2016 Sunday 8:02 PM GMT",,"Global week ahead: Post-Brexit black holes and 'Mother Merkel's' election bid; Politics takes center stage as USprepares for Thanksgiving","10 words","The Independent (United Kingdom)","AMERICAS",
"Emma Sheppard, Emma Featherstone and Claire Burke","November 23, 2016 Wednesday 4:46 PM GMT",,"Small businesses give Hammond's autumn statement 6 out of 10; Business groups are disappointed by failure to tackle business rates issues and lack of support following the vote for Brexit","1003 words","The Guardian","GUARDIAN SMALL BUSINESS NETWORK",
"Polly Toynbee","November 24, 2016 Thursday 1:03 PM GMT",,"Sooner or later, May and Hammond will have to put Britain before Brexit; The autumn statement revealed just how much leaving the EU is likely to cost us - and the chancellor dared not tell us this was what we'd wished on ourselves","1004 words","The Guardian","OPINION",
"JAMES MOORE","November 25, 2016 Friday",,"If Theresa May were a CEO she would have been fired over her Brexit negotiations","1008 words","The Independent - Daily Edition","COMMENT; Pg. 34",
"Macer Hall and Alison Little","November 16, 2016 Wednesday 12:01 AM GMT",,"EU Exit plan IS going to work: May blasts new plot to sabotage Brexit","1008 words","Express Online",,
"THE Sun","November 25, 2016 Friday",,"THE Sun SAYS Back Brexit","101 words","The Sun (England)","EDITORIAL; OPINION; LEADING ARTICLES; Pg. 10",
"James Moore","November 24, 2016 Thursday 12:39 PM GMT",,"If Theresa May was a corporate CEO she would have been fired over her Brexit negotiations; If the UK was a business and the public shareholders, we would all be entitled to a second vote over Brexit. No business would ask its shareholders to vote on a deal without first negotiating the terms","1011 words","The Independent (United Kingdom)","VOICES",
"Rowena Mason and Peter Walker","November 16, 2016 Wednesday 5:22 PM GMT",,"European ministers ridicule Boris Johnson after prosecco claim; Italian minister Carlo Calenda says foreign secretary's Brexit approach is insulting","1011 words","The Guardian","POLITICS",
"By Tim Stanley","November 25, 2016 Friday 8:59 AM GMT",,"Tony Blair can't stop Brexit. He's one of the people who caused it","1019 words","telegraph.co.uk","NEWS",
"FRASER NELSON","November 18, 2016 Friday",,"Mrs May is up for a fight, and that could be her best Brexit strategy; Playing the nice guy with the EU did her predecessor no good at all - a different approach is now required","1022 words","The Daily Telegraph (London)","NEWS; Pg. 18",
"AMIE GORDON FOR MAILONLINE and PRESS ASSOCIATION","November 17, 2016 Thursday 1:38 PM GMT",,"'We had Brexit, then Trump - and now this': Protesting pensioners are arrested as 'underhand' council workers move in to fell trees at dawn","1023 words","MailOnline","NEWS",
"By Peter Foster , Europe Editor","November 22, 2016 Tuesday 4:03 PM GMT",,"Europe's sluggish growth a bigger threat to world stability than Brexit, says IMF deputy chief","1026 words","telegraph.co.uk","NEWS",
"JAMES SLACK POLITICAL EDITOR FOR THE DAILY MAIL","November 24, 2016 Thursday 12:38 AM GMT",,"So much for Mr Gloomy!The elite said Brexit would spell apocalypse. Yesterday, an upbeat Chancellor predicted growth for the next five years (pity about the terrifying debt)","1031 words","MailOnline","NEWS",
"John Harris","November 23, 2016 Wednesday 6:00 AM GMT",,"On Brexit, the Labour leadership offers anxious voters ... nothing; Who will block, delay or even question the government on its EU exit strategy? Not, it is increasingly clear, the opposition","1032 words","The Guardian","OPINION",
"Rowena Mason Deputy political editor","November 24, 2016 Thursday 6:01 PM GMT",,"Can Brexit really be stopped?; Former prime minister Tony Blair has said it can if that's what people want. We look at the technical possibilities, and probabilities","1035 words","The Guardian","POLITICS",
"By Michael Wilkinson, Political Correspondent","November 22, 2016 Tuesday 8:53 AM GMT",,"Brexit could be fought over in EU's top court, warns senior judge as MEPs insist Britain cannot 'cherry pick' single market membership","1037 words","telegraph.co.uk","NEWS",
"ALLISTER HEATH","November 24, 2016 Thursday",,"Brexit Britain needs a radical vision but timid Hammond played it safe; A woeful failure to seize the historic moment is becoming the hallmark of this Government","1038 words","The Daily Telegraph (London)","NEWS; Pg. 24",
"Rowena Mason and Jennifer Rankin","November 21, 2016 Monday 8:29 PM GMT",,"PM warned transition Brexit deal 'fiendishly difficult' to achieve; Warning comes after Theresa May hints in CBI speech UK could seek arrangement with EU to avoid 'cliff edge' exit","1038 words","The Guardian","POLITICS",
"BY DAILY MAIL REPORTER","November 19, 2016 Saturday",,"NATIONALISTS GET SAY IN BREXIT COURT BATTLE","104 words","DAILY MAIL (London)",,
